corpus,file,block_size,blocks,direct_binary_bits,index_bits,gap_bits,complete_payload_bits,index_ratio,gap_ratio,complete_payload_ratio
synthetic,alternating.bin,16,4096,524288,1392640,487424,983040,2.65625,0.9296875,1.875
synthetic,alternating.bin,64,1024,524288,1843200,507904,983040,3.515625,0.96875,1.875
synthetic,alternating.bin,256,256,524288,2270720,512512,897024,4.3310546875,0.9775390625,1.7109375
synthetic,alternating.bin,512,128,524288,2390912,503680,843776,4.560302734375,0.960693359375,1.609375
synthetic,low_alphabet.bin,16,4096,524288,1288796,475354,1023880,2.4581832885742188,0.9066658020019531,1.9528961181640625
synthetic,low_alphabet.bin,64,1024,524288,1779168,501730,951912,3.39349365234375,0.9569740295410156,1.8156280517578125
synthetic,low_alphabet.bin,256,256,524288,2206426,506934,873488,4.208423614501953,0.9668998718261719,1.666046142578125
synthetic,low_alphabet.bin,512,128,524288,2416636,507442,885120,4.609367370605469,0.9678688049316406,1.688232421875
synthetic,ones.bin,16,4096,524288,1654784,577536,1114112,3.15625,1.1015625,2.125
synthetic,ones.bin,64,1024,524288,1812480,504832,983040,3.45703125,0.962890625,1.875
synthetic,ones.bin,256,256,524288,2248960,508672,884736,4.28955078125,0.97021484375,1.6875
synthetic,ones.bin,512,128,524288,2506368,520448,884736,4.780517578125,0.99267578125,1.6875
synthetic,periodic_text.txt,16,4036,516608,1402510,513581,1097792,2.71484375,0.994140625,2.125
synthetic,periodic_text.txt,64,1009,516608,1760705,499455,952496,3.408203125,0.966796875,1.84375
synthetic,periodic_text.txt,256,253,516608,2222117,508023,875888,4.301360025396432,0.9833819840188305,1.6954596134786917
synthetic,periodic_text.txt,512,127,516608,2465675,509661,868832,4.772816139122894,0.9865526666253717,1.6818012884043607
synthetic,ramp.bin,16,4096,524288,1405440,508672,1079296,2.6806640625,0.97021484375,2.05859375
synthetic,ramp.bin,64,1024,524288,1733120,495360,942080,3.3056640625,0.94482421875,1.796875
synthetic,ramp.bin,256,256,524288,2268416,515584,897024,4.32666015625,0.9833984375,1.7109375
synthetic,ramp.bin,512,128,524288,2372480,503424,841728,4.525146484375,0.960205078125,1.60546875
synthetic,random.bin,16,4096,524288,1396230,508049,1080160,2.663097381591797,0.9690265655517578,2.06024169921875
synthetic,random.bin,64,1024,524288,1806489,509373,962600,3.4456043243408203,0.9715518951416016,1.8360137939453125
synthetic,random.bin,256,256,524288,2217640,509194,877568,4.2298126220703125,0.9712104797363281,1.673828125
synthetic,random.bin,512,128,524288,2428173,509611,877472,4.631372451782227,0.9720058441162109,1.67364501953125
synthetic,zeros.bin,16,4096,524288,0,0,131072,0.0,0.0,0.25
synthetic,zeros.bin,64,1024,524288,0,0,32768,0.0,0.0,0.0625
synthetic,zeros.bin,256,256,524288,0,0,8192,0.0,0.0,0.015625
synthetic,zeros.bin,512,128,524288,0,0,4096,0.0,0.0,0.0078125
canterbury,alice29.txt,16,9506,1216712,3216235,1176332,2483208,2.643382328768024,0.9668121954907981,2.0409168315920283
canterbury,alice29.txt,64,2377,1216712,4185585,1180601,2235000,3.4400786710412983,0.9703208318813327,1.8369178573072347
canterbury,alice29.txt,256,595,1216712,5147782,1181903,2040440,4.230896054284004,0.9713909289955224,1.6770114866952903
canterbury,alice29.txt,512,298,1216712,5626387,1181328,2050088,4.6242553702108635,0.9709183438644478,1.6849410542511292
canterbury,asyoulik.txt,16,7824,1001432,2653820,969487,2049760,2.6500251639652017,0.9681006798264885,2.04682894095655
canterbury,asyoulik.txt,64,1956,1001432,3445245,972455,1837864,3.44031846395961,0.9710644357280375,1.8352359421308686
canterbury,asyoulik.txt,256,489,1001432,4233336,972350,1675128,4.227282531415014,0.9709595858730298,1.6727326468497112
canterbury,asyoulik.txt,512,245,1001432,4632568,972523,1685984,4.625943648695069,0.9711323384912804,1.6835731232874525
canterbury,cp.html,16,1538,196824,517785,189630,401448,2.6307005243263015,0.9634495793195952,2.039629313498354
canterbury,cp.html,64,385,196824,676386,190875,360376,3.4365016461407145,0.9697750274356786,1.830955574523432
canterbury,cp.html,256,97,196824,831305,190986,329248,4.223595699711417,0.9703389830508474,1.6728041295776939
canterbury,cp.html,512,49,196824,911299,191212,333616,4.630019713043125,0.9714872170060562,1.694996545136772
canterbury,fields.c,16,697,89200,235256,86007,181152,2.6373991031390136,0.9642040358744395,2.0308520179372196
canterbury,fields.c,64,175,89200,305806,86320,163432,3.428318385650224,0.967713004484305,1.8321973094170403
canterbury,fields.c,256,44,89200,377030,86701,150024,4.226793721973094,0.9719843049327355,1.6818834080717489
canterbury,fields.c,512,22,89200,411760,86619,148920,4.6161434977578475,0.9710650224215247,1.669506726457399
canterbury,grammar.lsp,16,233,29768,78989,28788,60624,2.65348696586939,0.9670787422735824,2.0365493147003493
canterbury,grammar.lsp,64,59,29768,101299,28692,54240,3.402949475947326,0.9638538027411986,1.8220908357968288
canterbury,grammar.lsp,256,15,29768,124603,28746,49520,4.185803547433486,0.9656678312281645,1.6635313087879602
canterbury,grammar.lsp,512,8,29768,136665,28892,48768,4.591003762429454,0.9705724267669981,1.638269282450954
canterbury,kennedy.xls,16,64359,8237952,20319521,7498005,16147144,2.46657433789369,0.9101782821749872,1.960092022871704
canterbury,kennedy.xls,64,16090,8237952,27684598,7854260,14875368,3.36061657072049,0.9534238606877049,1.8057119050948585
canterbury,kennedy.xls,256,4023,8237952,34700345,7969864,13740528,4.212253846587113,0.9674569601765098,1.6679543653568265
