corpus,block_size,mean_index_ratio,mean_gap_ratio,mean_complete_payload_ratio
canterbury,16,2.425041877291235,0.8892310567542758,1.9046098644061786
canterbury,64,3.2478234068200704,0.9188959085972854,1.7424292520319353
canterbury,256,4.100842370867142,0.9438656772889948,1.6279126910618353
canterbury,512,4.512025818486219,0.9495624201462718,1.6376711746717092
silesia_sample,16,2.477099577585856,0.9024062156677246,1.9354197184244792
silesia_sample,64,3.240446408589681,0.9150627454121908,1.734667460123698
silesia_sample,256,4.028786659240723,0.9252282778422037,1.5954704284667969
silesia_sample,512,4.501460234324138,0.9451842308044434,1.63702392578125
synthetic,16,2.3327554975237166,0.838756833757673,1.778104509626116
synthetic,64,2.9322316305977956,0.8245410919189453,1.586395263671875
synthetic,256,3.6695516981383856,0.8360920970473329,1.4514762687224023
synthetic,512,3.982788965483656,0.8342859334890319,1.42197642568723
