corpus,file,block_size,method,blocks,original_bytes,encoded_bytes,ratio,seconds
canterbury,alice29.txt,256,fipb_per_block,595,152089,255055,1.6770114866952903,
canterbury,alice29.txt,256,huffman_complete,595,152089,175280,1.1524830855617434,
canterbury,alice29.txt,256,rice_complete,595,152089,184860,1.2154725193800997,
canterbury,alice29.txt,256,entropy_oracle_payload,595,152089,151378,0.9953251056946919,
canterbury,alice29.txt,256,shared_alphabet_hybrid,595,152089,152098,1.0000591758772823,0.5949659999459982
canterbury,asyoulik.txt,256,fipb_per_block,489,125179,209391,1.6727326468497112,
canterbury,asyoulik.txt,256,huffman_complete,489,125179,144219,1.1521021896644006,
canterbury,asyoulik.txt,256,rice_complete,489,125179,152134,1.2153316450842393,
canterbury,asyoulik.txt,256,entropy_oracle_payload,489,125179,124582,0.9952308294522244,
canterbury,asyoulik.txt,256,shared_alphabet_hybrid,489,125179,125188,1.000071897043434,0.46562719997018576
canterbury,cp.html,256,fipb_per_block,97,24603,41156,1.6728041295776939,
canterbury,cp.html,256,huffman_complete,97,24603,28351,1.1523391456326464,
canterbury,cp.html,256,rice_complete,97,24603,29893,1.2150144291346583,
canterbury,cp.html,256,entropy_oracle_payload,97,24603,24486,0.9952444823801976,
canterbury,cp.html,256,shared_alphabet_hybrid,97,24603,24612,1.000365809047677,0.08884199999738485
canterbury,fields.c,256,fipb_per_block,44,11150,18753,1.6818834080717489,
canterbury,fields.c,256,huffman_complete,44,11150,12862,1.153542600896861,
canterbury,fields.c,256,rice_complete,44,11150,13555,1.2156950672645739,
canterbury,fields.c,256,entropy_oracle_payload,44,11150,11097,0.9952466367713004,
canterbury,fields.c,256,shared_alphabet_hybrid,44,11150,11158,1.0007174887892376,0.04175129998475313
canterbury,grammar.lsp,256,fipb_per_block,15,3721,6190,1.6635313087879602,
canterbury,grammar.lsp,256,huffman_complete,15,3721,4312,1.1588282719699006,
canterbury,grammar.lsp,256,rice_complete,15,3721,4517,1.2139209889814566,
canterbury,grammar.lsp,256,entropy_oracle_payload,15,3721,3704,0.9954313356624563,
canterbury,grammar.lsp,256,shared_alphabet_hybrid,15,3721,3729,1.002149959688256,0.013084299978800118
canterbury,kennedy.xls,256,fipb_per_block,4023,1029744,1717566,1.6679543653568265,
