dataset,count,maximum,method,encoded_bytes,bits_per_integer,ratio_to_u64
dense,100000,99999,raw_u64,800000,64.0,1.0
dense,100000,99999,elias_fano_complete,25011,2.00088,0.03126375
dense,100000,99999,gap_huffman_complete,12508,1.00064,0.015635
dense,100000,99999,gap_rice_complete,12506,1.00048,0.0156325
dense,100000,99999,gap_leb128,100000,8.0,0.125
geometric_p20,100000,499876,raw_u64,800000,64.0,1.0
geometric_p20,100000,499876,elias_fano_complete,53135,4.2508,0.06641875
geometric_p20,100000,499876,gap_huffman_complete,45595,3.6476,0.05699375
geometric_p20,100000,499876,gap_rice_complete,46185,3.6948,0.05773125
geometric_p20,100000,499876,gap_leb128,100000,8.0,0.125
geometric_p50,100000,200033,raw_u64,800000,64.0,1.0
geometric_p50,100000,200033,elias_fano_complete,37515,3.0012,0.04689375
geometric_p50,100000,200033,gap_huffman_complete,25047,2.00376,0.03130875
geometric_p50,100000,200033,gap_rice_complete,25012,2.00096,0.031265
geometric_p50,100000,200033,gap_leb128,100000,8.0,0.125
posting_like,100000,304116,raw_u64,800000,64.0,1.0
posting_like,100000,304116,elias_fano_complete,44020,3.5216,0.055025
posting_like,100000,304116,gap_huffman_complete,22749,1.81992,0.02843625
posting_like,100000,304116,gap_rice_complete,32821,2.62568,0.04102625
posting_like,100000,304116,gap_leb128,100030,8.0024,0.1250375
quadratic,100000,9999800001,raw_u64,800000,64.0,1.0
quadratic,100000,9999800001,elias_fano_complete,231588,18.52704,0.289485
quadratic,100000,9999800001,gap_huffman_complete,600365,48.0292,0.75045625
quadratic,100000,9999800001,gap_rice_complete,225431,18.03448,0.28178875
quadratic,100000,9999800001,gap_leb128,291742,23.33936,0.3646775
