corpus,file,block_size,original_bytes,encoded_bytes,ratio,encode_seconds,decode_seconds,encode_mib_s,decode_mib_s,alphabet_size,symbol_width,global_metadata_bytes,k_star,full_blocks,k_star_blocks,k_star_fraction,shared_blocks,shared_block_fraction
canterbury,alice29.txt,16,152089,152098,1.000059176,0.211916,0.000075,0.684437,1931.336526,26,5,31,14,9505,0,0.000000000,0,0.000000000
canterbury,asyoulik.txt,16,125179,125188,1.000071897,0.172267,0.000058,0.692992,2072.569397,24,5,29,14,7823,0,0.000000000,0,0.000000000
canterbury,cp.html,16,24603,24612,1.000365809,0.091953,0.000086,0.255165,271.880060,22,5,27,14,1537,0,0.000000000,0,0.000000000
canterbury,fields.c,16,11150,11158,1.000717489,0.078470,0.000018,0.135510,597.385878,19,5,24,14,696,0,0.000000000,0,0.000000000
canterbury,grammar.lsp,16,3721,3729,1.002149960,0.063461,0.000019,0.055919,190.786136,21,5,26,14,232,0,0.000000000,0,0.000000000
canterbury,kennedy.xls,16,1029744,1029753,1.000008740,0.427166,0.000120,2.298967,8163.261889,29,5,35,14,64359,0,0.000000000,0,0.000000000
canterbury,lcet10.txt,16,426754,426763,1.000021089,0.312313,0.000060,1.303128,6760.537030,29,5,35,14,26672,0,0.000000000,0,0.000000000
canterbury,plrabn12.txt,16,481861,481870,1.000018678,0.296585,0.000114,1.549433,4041.675108,30,5,36,14,30116,0,0.000000000,0,0.000000000
canterbury,ptt5,16,513216,309020,0.602124641,0.180565,0.022232,2.710603,22.014957,23,5,29,14,32076,22148,0.690485098,22713,0.708099514
canterbury,sum,16,38240,38249,1.000235356,0.100151,0.000033,0.364136,1098.448972,23,5,28,14,2390,36,0.015062762,47,0.019665272
canterbury,xargs.1,16,4227,4235,1.001892595,0.057559,0.000015,0.070035,266.965651,19,5,24,14,264,0,0.000000000,0,0.000000000
silesia,dickens,16,10192446,10192456,1.000000981,3.063712,0.003144,3.172711,3091.690195,33,6,39,12,637027,0,0.000000000,0,0.000000000
silesia,mozilla,16,51220480,51220490,1.000000195,14.938032,0.014800,3.270020,3300.428113,38,6,45,12,3201280,170447,0.053243390,172618,0.053921556
silesia,mr,16,9970564,9500824,0.952887319,2.100235,0.051207,4.527432,185.691202,33,6,39,12,623160,168674,0.270675268,169708,0.272334116
silesia,nci,16,33553445,33553455,1.000000298,9.587409,0.007597,3.337613,4211.898796,33,6,39,12,2097090,0,0.000000000,0,0.000000000
silesia,ooffice,16,6152192,6152202,1.000001625,1.717619,0.000686,3.415885,8555.245698,33,6,39,12,384512,2941,0.007648656,3005,0.007815101
silesia,osdb,16,10085684,10085694,1.000000992,3.243823,0.001620,2.965161,5935.853983,33,6,39,12,630355,0,0.000000000,0,0.000000000
silesia,reymont,16,6627202,6627212,1.000001509,2.585066,0.001805,2.444886,3502.461810,32,5,38,14,414200,0,0.000000000,0,0.000000000
silesia,samba,16,21606400,21606410,1.000000463,6.511426,0.003318,3.164510,6210.956339,35,6,41,12,1350400,61939,0.045867150,61966,0.045887145
silesia,sao,16,7251944,7251954,1.000001379,2.039813,0.001565,3.390504,4420.294476,34,6,40,12,453246,0,0.000000000,0,0.000000000
silesia,webster,16,41458703,41458713,1.000000241,13.047316,0.006605,3.030363,5985.905081,34,6,41,12,2591168,0,0.000000000,0,0.000000000
silesia,x-ray,16,8474240,8474250,1.000001180,2.277887,0.003244,3.547878,2491.342224,36,6,42,12,529640,6,0.000011328,6,0.000011328
silesia,xml,16,5345280,5345290,1.000001871,1.464151,0.000922,3.481646,5531.911286,31,5,37,14,334080,1262,0.003777538,1262,0.003777538
canterbury,alice29.txt,32,152089,152098,1.000059176,0.148471,0.000092,0.976912,1576.558403,27,5,32,40,4752,0,0.000000000,0,0.000000000
canterbury,asyoulik.txt,32,125179,125188,1.000071897,0.142355,0.000118,0.838607,1008.277004,27,5,32,40,3911,0,0.000000000,0,0.000000000
canterbury,cp.html,32,24603,24612,1.000365809,0.081418,0.000023,0.288184,1007.006404,24,5,29,40,768,0,0.000000000,0,0.000000000
canterbury,fields.c,32,11150,11158,1.000717489,0.059260,0.000016,0.179437,660.463890,22,5,27,40,348,0,0.000000000,0,0.000000000
canterbury,grammar.lsp,32,3721,3729,1.002149960,0.053769,0.000013,0.065997,279.419065,18,5,22,40,116,0,0.000000000,0,0.000000000
canterbury,kennedy.xls,32,1029744,1029753,1.000008740,0.400179,0.000285,2.454002,3442.132511,30,5,36,40,32179,0,0.000000000,0,0.000000000
canterbury,lcet10.txt,32,426754,426763,1.000021089,0.234461,0.000067,1.735832,6092.579779,28,5,33,40,13336,0,0.000000000,0,0.000000000
canterbury,plrabn12.txt,32,481861,481870,1.000018678,0.241785,0.000100,1.900610,4613.839958,30,5,35,40,15058,0,0.000000000,0,0.000000000
canterbury,ptt5,32,513216,292454,0.569845835,0.165276,0.011199,2.961348,43.702813,25,5,30,40,16038,9780,0.609801721,9965,0.621336825
canterbury,sum,32,38240,38249,1.000235356,0.097492,0.000056,0.374066,652.388298,23,5,28,40,1195,8,0.006694561,8,0.006694561
canterbury,xargs.1,32,4227,4235,1.001892595,0.069277,0.000014,0.058189,279.943148,19,5,24,40,132,0,0.000000000,0,0.000000000
silesia,dickens,32,10192446,10192456,1.000000981,2.912217,0.002706,3.337757,3591.986243,37,6,43,33,318513,0,0.000000000,0,0.000000000
silesia,mozilla,32,51220480,51220490,1.000000195,13.379041,0.007972,3.651058,6127.479804,37,6,43,33,1600640,69187,0.043224585,70048,0.043762495
silesia,mr,32,9970564,8488107,0.851316636,2.256940,0.034272,4.213082,277.444782,34,6,40,33,311580,80602,0.258687977,80806,0.259341873
silesia,nci,32,33553445,33553455,1.000000298,9.865715,0.010159,3.243461,3149.699660,35,6,41,33,1048545,0,0.000000000,0,0.000000000
silesia,ooffice,32,6152192,6152202,1.000001625,1.829807,0.000789,3.206451,7433.406183,35,6,41,33,192256,1082,0.005627913,1085,0.005643517
silesia,osdb,32,10085684,10085694,1.000000992,2.919473,0.002371,3.294587,4056.538229,33,6,39,33,315177,0,0.000000000,0,0.000000000
silesia,reymont,32,6627202,6627212,1.000001509,1.857905,0.001408,3.401784,4488.454184,33,6,39,33,207100,0,0.000000000,0,0.000000000
silesia,samba,32,21606400,21606410,1.000000463,5.506740,0.004533,3.741863,4545.357411,36,6,42,33,675200,29241,0.043307168,29241,0.043307168
silesia,sao,32,7251944,7251954,1.000001379,1.969484,0.002047,3.511577,3377.939209,35,6,41,33,226623,0,0.000000000,0,0.000000000
silesia,webster,32,41458703,41458713,1.000000241,12.467083,0.011744,3.171400,3366.778521,38,6,44,33,1295584,0,0.000000000,0,0.000000000
silesia,x-ray,32,8474240,8474250,1.000001180,2.446308,0.004940,3.303618,1636.030819,34,6,40,33,264820,1,0.000003776,1,0.000003776
silesia,xml,32,5345280,5345290,1.000001871,1.589028,0.000719,3.208034,7087.953629,32,5,38,40,167040,594,0.003556034,594,0.003556034
canterbury,alice29.txt,64,152089,152098,1.000059176,0.153050,0.000204,0.947686,712.743848,27,5,32,91,2376,0,0.000000000,0,0.000000000
canterbury,asyoulik.txt,64,125179,125188,1.000071897,0.147991,0.000087,0.806672,1365.903859,27,5,32,91,1955,0,0.000000000,0,0.000000000
canterbury,cp.html,64,24603,24612,1.000365809,0.076748,0.000044,0.305719,534.470369,23,5,28,91,384,0,0.000000000,0,0.000000000
canterbury,fields.c,64,11150,11158,1.000717489,0.077873,0.000018,0.136549,597.385878,21,5,26,91,174,0,0.000000000,0,0.000000000
canterbury,grammar.lsp,64,3721,3729,1.002149960,0.064230,0.000012,0.055249,305.915701,22,5,26,91,58,0,0.000000000,0,0.000000000
canterbury,kennedy.xls,64,1029744,1029753,1.000008740,0.442738,0.000173,2.218107,5663.439477,31,5,36,91,16089,0,0.000000000,0,0.000000000
canterbury,lcet10.txt,64,426754,426763,1.000021089,0.245308,0.000067,1.659076,6101.714081,29,5,34,91,6668,0,0.000000000,0,0.000000000
canterbury,plrabn12.txt,64,481861,481870,1.000018678,0.261505,0.000087,1.757282,5263.899883,28,5,33,91,7529,0,0.000000000,0,0.000000000
canterbury,ptt5,64,513216,331641,0.646201599,0.186034,0.011304,2.630922,43.297646,28,5,33,91,8019,3924,0.489337823,4011,0.500187056
canterbury,sum,64,38240,38249,1.000235356,0.090188,0.000029,0.404361,1257.534685,24,5,29,91,597,2,0.003350084,2,0.003344482
canterbury,xargs.1,64,4227,4235,1.001892595,0.055008,0.000019,0.073283,208.869499,22,5,26,91,66,0,0.000000000,0,0.000000000
silesia,dickens,64,10192446,10192456,1.000000981,3.214052,0.003202,3.024305,3035.688311,34,6,40,76,159256,0,0.000000000,0,0.000000000
silesia,mozilla,64,51220480,51220490,1.000000195,13.444301,0.013252,3.633335,3686.198261,37,6,43,76,800320,28971,0.036199270,29343,0.036664084
silesia,mr,64,9970564,7957015,0.798050642,2.177697,0.025800,4.366388,368.555989,34,6,40,76,155790,40032,0.256961294,40037,0.256991739
silesia,nci,64,33553445,33553455,1.000000298,10.217359,0.007940,3.131833,4030.158909,36,6,42,76,524272,0,0.000000000,0,0.000000000
silesia,ooffice,64,6152192,6152202,1.000001625,1.849094,0.001891,3.173006,3102.690375,34,6,40,76,96128,517,0.005378246,518,0.005388648
silesia,osdb,64,10085684,10085694,1.000000992,3.052622,0.002258,3.150884,4260.290470,33,6,39,76,157588,0,0.000000000,0,0.000000000
silesia,reymont,64,6627202,6627212,1.000001509,2.114156,0.004726,2.989463,1337.238926,33,6,39,76,103550,0,0.000000000,0,0.000000000
silesia,samba,64,21606400,21606410,1.000000463,6.314555,0.006378,3.263170,3230.558103,36,6,42,76,337600,12524,0.037097156,12524,0.037097156
silesia,sao,64,7251944,7251954,1.000001379,2.207041,0.003993,3.133605,1731.942486,35,6,41,76,113311,0,0.000000000,0,0.000000000
silesia,webster,64,41458703,41458713,1.000000241,13.438457,0.012890,2.942161,3067.394393,38,6,44,76,647792,0,0.000000000,0,0.000000000
silesia,x-ray,64,8474240,8474250,1.000001180,3.129310,0.003358,2.582571,2406.905036,36,6,42,76,132410,0,0.000000000,0,0.000000000
silesia,xml,64,5345280,5345290,1.000001871,1.813878,0.001929,2.810363,2642.504925,35,6,41,76,83520,261,0.003125000,261,0.003125000
canterbury,alice29.txt,128,152089,152098,1.000059176,0.191040,0.000108,0.759230,1346.735126,28,5,34,190,1188,0,0.000000000,0,0.000000000
