corpus,file,block_size,method,original_bytes,encoded_bytes,ratio
canterbury,alice29.txt,16,fisa,152089,152098,1.0000591758772823
canterbury,alice29.txt,16,zero_block_bitmap,152089,153290,1.00789669206846
canterbury,alice29.txt,16,zero_trim,152089,171111,1.1250715041850496
canterbury,alice29.txt,16,raw,152089,152089,1.0
canterbury,asyoulik.txt,16,fisa,125179,125188,1.000071897043434
canterbury,asyoulik.txt,16,zero_block_bitmap,125179,126169,1.0079086747777184
canterbury,asyoulik.txt,16,zero_trim,125179,140837,1.1250848784540537
canterbury,asyoulik.txt,16,raw,125179,125179,1.0
canterbury,cp.html,16,fisa,24603,24612,1.000365809047677
canterbury,cp.html,16,zero_block_bitmap,24603,24808,1.0083323171970897
canterbury,cp.html,16,zero_trim,24603,27689,1.1254318579035076
canterbury,cp.html,16,raw,24603,24603,1.0
canterbury,fields.c,16,fisa,11150,11158,1.0007174887892376
canterbury,fields.c,16,zero_block_bitmap,11150,11248,1.0087892376681615
canterbury,fields.c,16,zero_trim,11150,12553,1.125829596412556
canterbury,fields.c,16,raw,11150,11150,1.0
canterbury,grammar.lsp,16,fisa,3721,3729,1.002149959688256
canterbury,grammar.lsp,16,zero_block_bitmap,3721,3761,1.0107497984412792
canterbury,grammar.lsp,16,zero_trim,3721,4196,1.1276538564901908
canterbury,grammar.lsp,16,raw,3721,3721,1.0
canterbury,kennedy.xls,16,fisa,1029744,1029753,1.0000087400363586
canterbury,kennedy.xls,16,zero_block_bitmap,1029744,1037802,1.0078252458863561
canterbury,kennedy.xls,16,zero_trim,1029744,1090825,1.0593166845351853
canterbury,kennedy.xls,16,raw,1029744,1029744,1.0
canterbury,lcet10.txt,16,fisa,426754,426763,1.0000210894332566
canterbury,lcet10.txt,16,zero_block_bitmap,426754,430102,1.0078452691714666
canterbury,lcet10.txt,16,zero_trim,426754,480111,1.1250298766971136
canterbury,lcet10.txt,16,raw,426754,426754,1.0
canterbury,plrabn12.txt,16,fisa,481861,481870,1.0000186775854447
canterbury,plrabn12.txt,16,zero_block_bitmap,481861,485639,1.007840435312258
canterbury,plrabn12.txt,16,zero_trim,481861,542106,1.1250256816799866
