corpus,file,block_size,method,symbols,coded_bits,original_bits,ratio
canterbury,alice29.txt,64,fixed_binary_no_delimiters,484581,1180601,1216712,0.9703208318813327
canterbury,alice29.txt,64,elias_gamma,484581,1876621,1216712,1.542370750021369
canterbury,alice29.txt,64,elias_delta,484581,2202937,1216712,1.8105656885113321
canterbury,alice29.txt,64,fibonacci_universal,484581,1895612,1216712,1.5579792095417815
canterbury,alice29.txt,64,leb128,484581,3876648,1216712,3.1861673099303696
canterbury,alice29.txt,64,rice_oracle_k1,484581,1451606,1216712,1.1930563683106603
canterbury,alice29.txt,256,fixed_binary_no_delimiters,484846,1181903,1216712,0.9713909289955224
canterbury,alice29.txt,256,elias_gamma,484846,1878960,1216712,1.544293144145862
canterbury,alice29.txt,256,elias_delta,484846,2205311,1216712,1.8125168486872818
canterbury,alice29.txt,256,fibonacci_universal,484846,1896892,1216712,1.5590312251379126
canterbury,alice29.txt,256,leb128,484846,3878768,1216712,3.187909710761462
canterbury,alice29.txt,256,rice_oracle_k1,484846,1452986,1216712,1.194190572625239
canterbury,alice29.txt,512,fixed_binary_no_delimiters,484432,1181328,1216712,0.9709183438644478
canterbury,alice29.txt,512,elias_gamma,484432,1878224,1216712,1.5436882351780865
canterbury,alice29.txt,512,elias_delta,484432,2204042,1216712,1.8114738738501799
canterbury,alice29.txt,512,fibonacci_universal,484432,1896306,1216712,1.558549599247809
canterbury,alice29.txt,512,leb128,484432,3875456,1216712,3.1851876204064724
canterbury,alice29.txt,512,rice_oracle_k1,484432,1452917,1216712,1.1941338624095101
canterbury,asyoulik.txt,64,fixed_binary_no_delimiters,399018,972455,1001432,0.9710644357280375
canterbury,asyoulik.txt,64,elias_gamma,399018,1545892,1001432,1.543681448166226
canterbury,asyoulik.txt,64,elias_delta,399018,1814147,1001432,1.8115528563097645
canterbury,asyoulik.txt,64,fibonacci_universal,399018,1561108,1001432,1.558875690011903
canterbury,asyoulik.txt,64,leb128,399018,3192144,1001432,3.1875793863187916
canterbury,asyoulik.txt,64,rice_oracle_k1,399018,1195143,1001432,1.193434002508408
canterbury,asyoulik.txt,256,fixed_binary_no_delimiters,398762,972350,1001432,0.9709595858730298
canterbury,asyoulik.txt,256,elias_gamma,398762,1545938,1001432,1.5437273823884199
canterbury,asyoulik.txt,256,elias_delta,398762,1814070,1001432,1.8114759664160922
canterbury,asyoulik.txt,256,fibonacci_universal,398762,1560891,1001432,1.558659000311554
canterbury,asyoulik.txt,256,leb128,398762,3190096,1001432,3.185534314861119
canterbury,asyoulik.txt,256,rice_oracle_k1,398762,1195812,1001432,1.1941020458703138
canterbury,asyoulik.txt,512,fixed_binary_no_delimiters,398924,972523,1001432,0.9711323384912804
canterbury,asyoulik.txt,512,elias_gamma,398924,1546122,1001432,1.543911119277195
canterbury,asyoulik.txt,512,elias_delta,398924,1814599,1001432,1.8120042099713212
canterbury,asyoulik.txt,512,fibonacci_universal,398924,1560995,1001432,1.5587628515965137
canterbury,asyoulik.txt,512,leb128,398924,3191392,1001432,3.186828461642927
canterbury,asyoulik.txt,512,rice_oracle_k1,398924,1196154,1001432,1.1944435568266243
canterbury,cp.html,64,fixed_binary_no_delimiters,78328,190875,196824,0.9697750274356786
canterbury,cp.html,64,elias_gamma,78328,303422,196824,1.5415904564484006
canterbury,cp.html,64,elias_delta,78328,356151,196824,1.8094896963784903
canterbury,cp.html,64,fibonacci_universal,78328,306425,196824,1.5568477421452669
canterbury,cp.html,64,leb128,78328,626624,196824,3.1836767873836522
canterbury,cp.html,64,rice_oracle_k1,78328,234742,196824,1.1926492704141771
canterbury,cp.html,256,fixed_binary_no_delimiters,78295,190986,196824,0.9703389830508474
canterbury,cp.html,256,elias_gamma,78295,303677,196824,1.5428860301589238
canterbury,cp.html,256,elias_delta,78295,356392,196824,1.8107141405519651
canterbury,cp.html,256,fibonacci_universal,78295,306557,196824,1.5575183920660083
canterbury,cp.html,256,leb128,78295,626360,196824,3.1823354875421694
canterbury,cp.html,256,rice_oracle_k1,78295,234928,196824,1.1935942771206765
canterbury,cp.html,512,fixed_binary_no_delimiters,78494,191212,196824,0.9714872170060562
canterbury,cp.html,512,elias_gamma,78494,303930,196824,1.5441714425070114
canterbury,cp.html,512,elias_delta,78494,356688,196824,1.8122180221924156
canterbury,cp.html,512,fibonacci_universal,78494,307274,196824,1.5611612404991262
canterbury,cp.html,512,leb128,78494,627952,196824,3.190423932040808
canterbury,cp.html,512,rice_oracle_k1,78494,235333,196824,1.19565195301386
canterbury,fields.c,64,fixed_binary_no_delimiters,35421,86320,89200,0.967713004484305
canterbury,fields.c,64,elias_gamma,35421,137219,89200,1.538329596412556
canterbury,fields.c,64,elias_delta,35421,161110,89200,1.8061659192825112
canterbury,fields.c,64,fibonacci_universal,35421,138658,89200,1.5544618834080717
canterbury,fields.c,64,leb128,35421,283368,89200,3.1767713004484306
canterbury,fields.c,64,rice_oracle_k1,35421,106294,89200,1.1916367713004485
canterbury,fields.c,256,fixed_binary_no_delimiters,35552,86701,89200,0.9719843049327355
canterbury,fields.c,256,elias_gamma,35552,137850,89200,1.5454035874439462
canterbury,fields.c,256,elias_delta,35552,161799,89200,1.813890134529148
canterbury,fields.c,256,fibonacci_universal,35552,139081,89200,1.5592040358744395
canterbury,fields.c,256,leb128,35552,284416,89200,3.188520179372197
canterbury,fields.c,256,rice_oracle_k1,35552,106505,89200,1.1940022421524663
canterbury,fields.c,512,fixed_binary_no_delimiters,35489,86619,89200,0.9710650224215247
canterbury,fields.c,512,elias_gamma,35489,137749,89200,1.5442713004484305
canterbury,fields.c,512,elias_delta,35489,161629,89200,1.8119843049327353
canterbury,fields.c,512,fibonacci_universal,35489,139005,89200,1.5583520179372197
canterbury,fields.c,512,leb128,35489,283912,89200,3.1828699551569506
canterbury,fields.c,512,rice_oracle_k1,35489,106472,89200,1.1936322869955156
canterbury,grammar.lsp,64,fixed_binary_no_delimiters,11735,28692,29768,0.9638538027411986
canterbury,grammar.lsp,64,elias_gamma,11735,45649,29768,1.5334923407686105
canterbury,grammar.lsp,64,elias_delta,11735,53508,29768,1.7975006718624025
canterbury,grammar.lsp,64,fibonacci_universal,11735,46034,29768,1.5464256920182746
canterbury,grammar.lsp,64,leb128,11735,93880,29768,3.1537221177102928
canterbury,grammar.lsp,64,rice_oracle_k1,11735,35353,29768,1.1876175759204515
canterbury,grammar.lsp,256,fixed_binary_no_delimiters,11775,28746,29768,0.9656678312281645
canterbury,grammar.lsp,256,elias_gamma,11775,45717,29768,1.5357766729373825
canterbury,grammar.lsp,256,elias_delta,11775,53638,29768,1.8018677774791723
canterbury,grammar.lsp,256,fibonacci_universal,11775,46175,29768,1.5511623219564634
canterbury,grammar.lsp,256,leb128,11775,94200,29768,3.164471916151572
canterbury,grammar.lsp,256,rice_oracle_k1,11775,35477,29768,1.1917831228164473
canterbury,grammar.lsp,512,fixed_binary_no_delimiters,11857,28892,29768,0.9705724267669981
canterbury,grammar.lsp,512,elias_gamma,11857,45927,29768,1.5428312281644718
canterbury,grammar.lsp,512,elias_delta,11857,53932,29768,1.8117441547970976
canterbury,grammar.lsp,512,fibonacci_universal,11857,46388,29768,1.5583176565439398
canterbury,grammar.lsp,512,leb128,11857,94856,29768,3.1865090029561944
canterbury,grammar.lsp,512,rice_oracle_k1,11857,35534,29768,1.1936979306638
canterbury,kennedy.xls,64,fixed_binary_no_delimiters,3215550,7854260,8237952,0.9534238606877049
canterbury,kennedy.xls,64,elias_gamma,3215550,12492970,8237952,1.5165140559206949
canterbury,kennedy.xls,64,elias_delta,3215550,14656604,8237952,1.7791562757345516
canterbury,kennedy.xls,64,fibonacci_universal,3215550,12600294,8237952,1.5295420512282665
canterbury,kennedy.xls,64,leb128,3215550,25724400,8237952,3.12266932363772
canterbury,kennedy.xls,64,rice_oracle_k1,3215550,9663133,8237952,1.1730018577432837
canterbury,kennedy.xls,256,fixed_binary_no_delimiters,3269157,7969864,8237952,0.9674569601765098
canterbury,kennedy.xls,256,elias_gamma,3269157,12670571,8237952,1.5380729336611818
canterbury,kennedy.xls,256,elias_delta,3269157,14871016,8237952,1.8051836184527417
canterbury,kennedy.xls,256,fibonacci_universal,3269157,12794102,8237952,1.5530682868751846
canterbury,kennedy.xls,256,leb128,3269157,26153256,8237952,3.174727893534704
canterbury,kennedy.xls,256,rice_oracle_k1,3269157,9801918,8237952,1.1898488847713606
canterbury,kennedy.xls,512,fixed_binary_no_delimiters,3273979,7982907,8237952,0.9690402420407402
canterbury,kennedy.xls,512,elias_gamma,3273979,12691835,8237952,1.5406541577324073
canterbury,kennedy.xls,512,elias_delta,3273979,14894177,8237952,1.8079951182041363
canterbury,kennedy.xls,512,fibonacci_universal,3273979,12816497,8237952,1.5557868023508756
